gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000128052.10	KDR	protein_coding	4257	2035	2222	42.3743	11.5253	11.0087
ENSG00000128052.10	KDR	protein_coding	2642	1312	1331	22.5707	6.0389	6.3878
ENSG00000128052.10	KDR	protein_coding	7723	3832	3891	52.6995	19.7926	25.0901
ENSG00000128052.10	KDR	protein_coding	2815	1416	1399	16.7716	7.5824	8.1033
ENSG00000128052.10	KDR	protein_coding	2723	1339	1384	26.9434	9.2240	8.9410
ENSG00000128052.10	KDR	protein_coding	2203	1112	1091	16.8403	10.7929	10.5718
ENSG00000128052.10	KDR	protein_coding	4865	2483	2382	40.0028	11.0052	10.5299
ENSG00000128052.10	KDR	protein_coding	1930	987	943	14.1740	4.5298	4.8661
ENSG00000128052.10	KDR	protein_coding	4375	2257	2118	39.6007	10.5127	10.0216
ENSG00000128052.10	KDR	protein_coding	4195	2100	2095	42.1560	11.0450	10.3997
ENSG00000128052.10	KDR	protein_coding	4363	2168	2195	53.1655	14.1762	13.5603
ENSG00000128052.10	KDR	protein_coding	7895	3929	3966	53.0603	18.7645	21.1817
ENSG00000128052.10	KDR	protein_coding	4443	2202	2241	55.1858	16.7353	15.7762
ENSG00000128052.10	KDR	protein_coding	2396	1184	1212	21.2078	5.9463	6.0109
ENSG00000128052.10	KDR	protein_coding	2365	1131	1234	19.1329	5.3473	6.1660
ENSG00000128052.10	KDR	protein_coding	3316	1649	1667	30.9817	7.3610	6.7493
ENSG00000128052.10	KDR	protein_coding	4819	2482	2337	35.9567	11.6291	12.2396
ENSG00000128052.10	KDR	protein_coding	3678	1865	1813	28.1493	7.7536	7.7868
ENSG00000128052.10	KDR	protein_coding	2323	1155	1168	31.1920	12.2849	13.2180
ENSG00000128052.10	KDR	protein_coding	733	362	371	5.3190	3.4221	4.3391
ENSG00000128052.10	KDR	protein_coding	2693	1321	1372	21.2794	6.3802	7.5330
ENSG00000128052.10	KDR	protein_coding	1165	587	578	11.7386	3.1002	2.9229
ENSG00000128052.10	KDR	protein_coding	2768	1399	1369	37.0455	10.5568	10.7284
ENSG00000128052.10	KDR	protein_coding	366	185	181	2.7462	1.7901	1.8782
ENSG00000128052.10	KDR	protein_coding	2480	1265	1215	25.9769	7.3539	7.7036
ENSG00000128052.10	KDR	protein_coding	8953	4604	4349	57.9997	15.9777	15.1673
ENSG00000128052.10	KDR	protein_coding	2787	1390	1397	37.2704	8.9126	8.2609
ENSG00000128052.10	KDR	protein_coding	1519	772	747	22.9029	6.4947	6.6572
ENSG00000128052.10	KDR	protein_coding	360	198	162	3.4622	1.1335	1.3816
ENSG00000128052.10	KDR	protein_coding	1324	621	703	13.9495	4.2415	4.2720
ENSG00000128052.10	KDR	protein_coding	2732	1369	1363	31.4286	10.1885	9.7049
ENSG00000128052.10	KDR	protein_coding	4009	2008	2001	36.5960	9.1177	8.0360
ENSG00000128052.10	KDR	protein_coding	3876	1955	1921	32.3804	9.5550	9.5489
ENSG00000128052.10	KDR	protein_coding	3096	1508	1588	28.4828	8.1555	8.2106
ENSG00000128052.10	KDR	protein_coding	1891	908	983	21.5592	6.0225	6.5353
ENSG00000128052.10	KDR	protein_coding	5825	2939	2886	59.5083	16.2709	14.7292
ENSG00000128052.10	KDR	protein_coding	1570	798	772	15.2494	4.9524	4.9146
ENSG00000128052.10	KDR	protein_coding	1977	980	997	15.6102	4.9041	4.7992
ENSG00000128052.10	KDR	protein_coding	4227	2124	2103	52.9609	13.8471	15.2876
ENSG00000128052.10	KDR	protein_coding	4256	2175	2084	35.4387	10.4316	10.2728
ENSG00000128052.10	KDR	protein_coding	1149	563	586	9.6978	2.9915	3.0459
ENSG00000128052.10	KDR	protein_coding	3211	1633	1578	25.5484	7.7962	7.6343
ENSG00000128052.10	KDR	protein_coding	4936	2472	2464	50.1333	16.2133	18.1689
ENSG00000128052.10	KDR	protein_coding	6619	3276	3343	58.4161	15.5800	15.3699
ENSG00000128052.10	KDR	protein_coding	5594	2802	2792	46.3665	11.7905	11.6214
